Lat,Lng,Altitude(f,Accuracy,Date2
34.188629999999996,-118.624799999999993,"839","10",2019-09-10 09:27:27-07:00
34.188390000000005,-118.624799999999993,"842","65",2019-09-10 09:28:22-07:00
34.188899999999997,-118.624600000000001,"849","10",2019-09-10 09:30:30-07:00
34.188650000000003,-118.624700000000004,"846","65",2019-09-10 09:33:11-07:00
34.188850000000002,-118.624600000000001,"823","10",2019-09-10 09:34:49-07:00
34.187159999999999,-118.623400000000004,"826","10",2019-09-10 09:36:08-07:00
34.186370000000004,-118.623500000000007,"823","10",2019-09-10 09:37:28-07:00
34.178670000000004,-118.623400000000004,"846","10",2019-09-10 09:38:46-07:00
34.171890000000005,-118.623000000000005,"846","10",2019-09-10 09:40:18-07:00
34.171959999999999,-118.614300000000000,"859","10",2019-09-10 09:41:49-07:00
34.171939999999999,-118.606600000000000,"882","10",2019-09-10 09:43:20-07:00
34.172990000000006,-118.597499999999997,"865","10",2019-09-10 09:44:39-07:00
34.165999999999997,-118.597499999999997,"902","10",2019-09-10 09:45:55-07:00
34.166559999999997,-118.599000000000004,"951","10",2019-09-10 09:47:18-07:00
34.157029999999999,-118.605599999999995,"902","50",2019-09-10 12:25:01-07:00
34.157049999999998,-118.605500000000006,"951","10",2019-09-10 12:27:57-07:00
34.157270000000004,-118.605400000000003,"947","10",2019-09-10 12:31:47-07:00
34.157559999999997,-118.605300000000000,"947","10",2019-09-10 12:33:39-07:00
34.156929999999996,-118.605699999999999,"954","10",2019-09-10 12:35:01-07:00
34.159129999999998,-118.608999999999995,"947","5",2019-09-10 12:36:20-07:00
34.162990000000001,-118.608599999999996,"924","5",2019-09-10 12:37:44-07:00
34.166400000000003,-118.610399999999998,"908","10",2019-09-10 12:39:06-07:00
34.168160000000000,-118.607900000000001,"885","10",2019-09-10 12:40:23-07:00
34.168160000000000,-118.607399999999998,"895","10",2019-09-10 12:41:20-07:00
34.168440000000004,-118.600999999999999,"869","65",2019-09-10 12:48:51-07:00
34.166210000000000,-118.598799999999997,"964","10",2019-09-10 12:50:07-07:00
34.166179999999997,-118.598100000000002,"924","10",2019-09-10 15:29:30-07:00
34.159810000000000,-118.596400000000003,"934","10",2019-09-10 15:30:48-07:00
34.158619999999999,-118.590699999999998,"974","10",2019-09-10 15:32:07-07:00
34.157790000000006,-118.584100000000007,"977","10",2019-09-10 15:33:25-07:00
34.159179999999999,-118.575900000000004,"1036","10",2019-09-10 15:34:43-07:00
34.163209999999999,-118.569199999999995,"908","10",2019-09-10 15:36:01-07:00
34.163909999999994,-118.561499999999995,"924","10",2019-09-10 15:37:19-07:00
34.163589999999999,-118.554299999999998,"856","10",2019-09-10 15:38:40-07:00
34.163220000000003,-118.547899999999998,"852","10",2019-09-10 15:39:58-07:00
34.163220000000003,-118.541899999999998,"836","10",2019-09-10 15:41:14-07:00
34.165709999999997,-118.537499999999994,"813","10",2019-09-10 15:42:33-07:00
34.168030000000002,-118.534499999999994,"783","10",2019-09-10 15:43:52-07:00
34.165950000000002,-118.529100000000000,"813","10",2019-09-10 15:45:12-07:00
34.163609999999998,-118.522300000000001,"803","10",2019-09-10 15:46:31-07:00
34.161200000000001,-118.512600000000006,"820","10",2019-09-10 15:47:50-07:00
34.159859999999995,-118.504000000000005,"780","10",2019-09-10 15:49:08-07:00
34.157969999999999,-118.495599999999996,"770","10",2019-09-10 15:50:28-07:00
34.157330000000002,-118.491399999999999,"747","10",2019-09-10 15:51:48-07:00
34.156790000000001,-118.486999999999995,"754","10",2019-09-10 15:53:07-07:00
34.155780000000000,-118.480000000000004,"728","10",2019-09-10 15:54:28-07:00
34.155140000000003,-118.475600000000000,"711","10",2019-09-10 15:56:00-07:00
34.153880000000001,-118.466899999999995,"711","10",2019-09-10 15:57:19-07:00
34.153630000000000,-118.465500000000006,"705","10",2019-09-10 15:58:41-07:00
